root - 2023-01-04 10:26:40,372 - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:16,881 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:36,406 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:37,164 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:37,613 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:37,809 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:38,010 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:38,175 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:38,364 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:38,533 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:38,695 - app.py - DEBUG - Hallo Advanced Logger
root - 2023-01-04 10:27:38,859 - app.py - DEBUG - Hallo Advanced Logger
